folder,examples,time,RRE,RTE
7-scenes-redkitchen,5 16,0:00:01.915357,1.4646246716853049,0.10929186731540266
7-scenes-redkitchen,5 17,0:00:01.670274,1.2672230289634216,0.10752878542634851
7-scenes-redkitchen,5 18,0:00:01.671483,1.222501118317702,0.0711715023338163
7-scenes-redkitchen,5 19,0:00:02.723542,1.1872527321763744,0.031574202599908174
7-scenes-redkitchen,5 20,0:00:03.954186,1.0225414208657668,0.10332237520649899
7-scenes-redkitchen,5 25,0:00:01.093345,1.3080665238061258,0.030020453195836058
7-scenes-redkitchen,5 26,0:00:03.946771,1.8423792844825548,0.04863460113580006
7-scenes-redkitchen,5 36,0:00:03.079769,1.3493702794666682,0.049376888937274266
7-scenes-redkitchen,5 37,0:00:03.305510,1.6745258848670301,0.08015299583954048
7-scenes-redkitchen,5 38,0:00:03.039185,2.2819833976011434,0.07738730497985957
7-scenes-redkitchen,5 39,0:00:04.048190,1.9582277118695384,0.11363758745970429
7-scenes-redkitchen,6 7,0:00:01.805392,0.674664518522459,0.017244216886021402
7-scenes-redkitchen,6 8,0:00:04.122483,1.5081991986839984,0.07628507263926289
7-scenes-redkitchen,6 9,0:00:03.259053,1.211161304189665,0.02688170707220006
7-scenes-redkitchen,6 10,0:00:03.093336,0.9264469737002934,0.03571902671936137
7-scenes-redkitchen,6 11,0:00:07.741874,1.2218935749959625,0.07738532397580475
7-scenes-redkitchen,6 12,0:00:01.608607,1.2808853325965752,0.04424553482345805
7-scenes-redkitchen,6 15,0:00:03.618386,1.7961523092978746,0.04552516165070043
7-scenes-redkitchen,6 16,0:00:02.376183,1.3121052103966229,0.09422999490840137
7-scenes-redkitchen,6 17,0:00:03.077477,1.0025961817188849,0.05029454429952388
7-scenes-redkitchen,6 18,0:00:01.787055,1.446570446275907,0.049260648103330335
7-scenes-redkitchen,6 19,0:00:02.213239,1.0378247658820945,0.01206537746268389
7-scenes-redkitchen,6 20,0:00:03.138595,1.064958694356841,0.0573461225619449
7-scenes-redkitchen,6 21,0:00:02.608195,2.81793975311241,0.16966567293815193
7-scenes-redkitchen,6 24,0:00:01.693731,2.0023202195209455,0.061830575343432136
7-scenes-redkitchen,6 25,0:00:01.526099,1.321416656965942,0.025376042331457307
7-scenes-redkitchen,6 26,0:00:01.582220,1.5047170001521475,0.031335451833681645
7-scenes-redkitchen,6 35,0:00:04.466341,109.25497103347773,3.516005566965957
7-scenes-redkitchen,6 36,0:00:02.084202,1.4352581658161991,0.024305940158225927
7-scenes-redkitchen,6 37,0:00:03.464096,1.6282803609439378,0.02485664279588646
7-scenes-redkitchen,6 38,0:00:03.768537,1.832545724978282,0.032013282683951164
7-scenes-redkitchen,6 39,0:00:02.899015,1.613430696368195,0.05582929253883488
7-scenes-redkitchen,6 53,0:00:01.812799,3.4572676930216573,0.0420597272366493
7-scenes-redkitchen,6 54,0:00:35.595534,1.1444099587891055,0.024543017635824668
7-scenes-redkitchen,6 59,0:00:01.834813,1.6314221098623798,0.02582690977256669
7-scenes-redkitchen,7 8,0:00:06.316171,0.5979510787326638,0.03704879552060919
7-scenes-redkitchen,7 9,0:00:04.449955,1.0562707006194405,0.0404443144581847
7-scenes-redkitchen,7 10,0:00:01.208081,1.2069015117736726,0.07304144871578724
7-scenes-redkitchen,7 11,0:00:02.632283,1.3675940582857173,0.08470451463035762
7-scenes-redkitchen,7 15,0:00:02.779489,1.088712855571802,0.04515478938954182
7-scenes-redkitchen,7 16,0:00:03.485860,0.8456326399862286,0.024798530750797597
7-scenes-redkitchen,7 17,0:00:02.862134,1.060769918380334,0.07036907284298542
7-scenes-redkitchen,7 18,0:00:01.884424,1.0202131794916605,0.016008896308426564
7-scenes-redkitchen,7 19,0:00:02.219597,0.9676723627433117,0.025278638176340233
7-scenes-redkitchen,7 20,0:00:03.448762,1.9299877820288476,0.04364895376163942
7-scenes-redkitchen,7 21,0:00:03.696475,2.7767816295063965,0.18619241375751724
7-scenes-redkitchen,7 24,0:00:01.708813,1.4550100859788284,0.04365985616673585
7-scenes-redkitchen,7 25,0:00:03.069054,1.3666171277069983,0.03452546874677051
7-scenes-redkitchen,7 26,0:00:01.897538,1.1774056482218282,0.02780342135389583
7-scenes-redkitchen,7 35,0:00:13.999114,89.35880626356168,3.007566331763409
7-scenes-redkitchen,7 36,0:00:02.837970,1.5453438241158504,0.01984857803750596
7-scenes-redkitchen,7 37,0:00:05.187563,1.518093977791287,0.023339716903366045
7-scenes-redkitchen,7 38,0:00:01.837241,1.3916261951658133,0.013498422564179683
7-scenes-redkitchen,7 39,0:00:05.020174,1.431162229686135,0.01582478336252342
7-scenes-redkitchen,7 53,0:00:02.425737,14.744895721027142,0.33975592946204564
7-scenes-redkitchen,7 54,0:01:00.211761,179.4832215060305,4.664839840879897
7-scenes-redkitchen,7 58,0:00:02.519738,1.024740886381289,0.04438318570711082
7-scenes-redkitchen,7 59,0:00:05.856697,0.9823338851081662,0.029926087382473383
7-scenes-redkitchen,8 9,0:00:06.476913,1.252597435282045,0.05579482837841815
7-scenes-redkitchen,8 16,0:00:28.013436,1.6960479773332569,0.6365163374407385
7-scenes-redkitchen,8 17,0:00:02.362109,0.9404262004909009,0.021241043684670197
7-scenes-redkitchen,8 18,0:00:03.973451,0.9050282544427778,0.026998781878773605
7-scenes-redkitchen,8 19,0:00:03.910939,1.1046619616039053,0.05604271856644839
7-scenes-redkitchen,8 20,0:00:02.795200,1.4077901376925173,0.020173571268995005
7-scenes-redkitchen,8 21,0:00:05.104703,2.2576230287371204,0.07878704026163805
7-scenes-redkitchen,8 22,0:00:03.252000,0.964901091073797,0.047424213062128885
7-scenes-redkitchen,8 23,0:00:02.830355,1.5344378943245738,0.05714860497569106
7-scenes-redkitchen,8 24,0:00:12.348953,1.6711581494708019,0.04969100609411015
7-scenes-redkitchen,8 25,0:00:02.818976,1.3609076077861648,0.03843500180360023
7-scenes-redkitchen,8 35,0:00:02.672645,1.3630622610472776,0.03491149647344503
7-scenes-redkitchen,8 36,0:00:03.476087,1.8011508955275768,0.03112020822627857
7-scenes-redkitchen,8 37,0:00:06.141462,2.088754137936674,0.040911184690651976
7-scenes-redkitchen,8 39,0:00:03.501520,1.7100257231454143,0.042264395277105855
7-scenes-redkitchen,8 54,0:00:02.677977,0.8878377409210518,0.050787136023164994
7-scenes-redkitchen,8 59,0:00:02.146754,8.531309721281508,0.317050395225546
7-scenes-redkitchen,9 10,0:00:01.533004,0.5671420605929332,0.024896859312975236
7-scenes-redkitchen,9 11,0:00:01.135333,0.8914646218094011,0.05198664194567217
7-scenes-redkitchen,9 16,0:00:05.088721,1.464422332131953,0.0979552053480202
7-scenes-redkitchen,9 17,0:00:02.694604,1.421896571749568,0.10506909726928818
7-scenes-redkitchen,9 18,0:00:04.144832,1.055310187912383,0.04769774577278281
7-scenes-redkitchen,9 19,0:00:05.448261,1.1508508775417647,0.01684770931245259
7-scenes-redkitchen,9 20,0:00:04.451969,0.9775525596247759,0.09196341615151574
7-scenes-redkitchen,9 21,0:00:04.073220,1.8771138417545152,0.13123308211890364
7-scenes-redkitchen,9 24,0:00:08.505798,1.4019334566391954,0.055275491273935475
7-scenes-redkitchen,9 25,0:00:02.841161,1.190003657446596,0.01179399274494821
7-scenes-redkitchen,9 26,0:00:01.479577,1.2923983440512798,0.02965165455596248
7-scenes-redkitchen,9 35,0:00:06.659487,1.6769097983858676,0.07604943194268135
7-scenes-redkitchen,9 36,0:00:05.140200,1.3382204844863206,0.08867894828221451
7-scenes-redkitchen,9 37,0:00:08.381196,1.6920775248924804,0.0974901391151861
7-scenes-redkitchen,9 38,0:00:02.535429,2.5221881017053773,0.10167349865025027
7-scenes-redkitchen,9 39,0:00:03.539502,1.6871894776888374,0.059739928322973965
7-scenes-redkitchen,9 54,0:00:02.480673,1.8162075543326448,0.2948690660595051
7-scenes-redkitchen,9 59,0:00:02.176674,2.4114178563716897,0.03702375170195198
7-scenes-redkitchen,10 11,0:00:02.550659,0.7233105806340835,0.01621804168828923
